"Nacionalidad","Migraciones_2021","latitude","longitude","continente"
"Germany",12172,51.050577200392,10.3643715892926,"Europe"
"Bulgaria",3090,42.7712410497898,25.2091326237717,"Europe"
"Belgium",4639,50.6388949631126,4.6459381947024,"Europe"
"Denmark",836,55.9749821709948,10.042211774911,"Europe"
"Spain",42761,40.2076539840155,-3.70353625253204,"Europe"
"Finland",852,64.2551360000276,26.1949730974537,"Europe"
"France",13111,46.603354,1.888334,"Europe"
"Ireland",3165,53.1625330764791,-8.14571833620769,"Europe"
"Italy",29266,42.7156861458039,12.2010485047318,"Europe"
"Lithuania",974,55.3237700619849,23.8970998775749,"Europe"
"Moldova",972,47.1871728367014,28.4656191680334,"Europe"
"Norway",1439,66.3603228976923,12.7458965802462,"Europe"
"Netherlands",5734,52.2269196009093,4.99154833318456,"Europe"
"Poland",3514,52.111835612144,19.4197062879029,"Europe"
"Portugal",6727,39.6062103081133,-8.52813028125947,"Europe"
"United Kingdom",25046,54.0116497461288,-2.75814205633044,"Europe"
"Romania",16429,45.8484139836604,24.9831817963969,"Europe"
"Sweden",2870,62.3836560742429,16.266950180562,"Europe"
"Switzerland",1687,46.7988964271967,8.20628199812416,"Europe"
"Ukraine",5225,49.1956082317395,31.3155838484354,"Europe"
